id;AA;genere;n.scarpe;h
1;11-12;F;36;162
2;11-12;F;39;165
3;11-12;F;37.5;169
4;11-12;F;37;163
5;10-11;F;43;173
6;10-11;F;39;165
7;10-11;F;38;158
8;10-11;F;40;175
9;10-11;F;36;170
10;10-11;F;35;157
11;10-11;F;37;176
12;10-11;F;39;160
13;10-11;F;40;170
14;09-11;F;39;171
15;09-11;F;40;163
16;09-11;F;39;170
17;09-11;F;38;166
18;09-11;F;39;169
19;09-11;F;39;165
20;09-11;F;36.5;168
21;09-11;F;37;163
22;09-11;F;36;165
23;09-11;F;37;165
31;12-13;F;38;167
33;12-13;F;40;165
34;12-13;F;42;173
35;12-13;F;37;167
24;11-12;M;43;175
25;11-12;M;43;179
26;10-11;M;43.5;177
27;10-11;M;44;181
28;10-11;M;42;178
29;09-11;M;43;180
30;09-11;M;45;180
32;12-13;M;42.5;175
